Fake Gambit
Nnodes, Ncells, Ngroups, Nboundaries, Skip, Skip
273 484 0 4 0 0
---------------------
Nodes coordinates
-0 0 0
-0 1 1
2 0 2
2 1 3
0.0999999999997993 0 4
0.1999999999996293 0 5
0.2999999999994072 0 6
0.3999999999991157 0 7
0.4999999999988242 0 8
0.5999999999985328 0 9
0.6999999999982413 0 10
0.7999999999979498 0 11
0.8999999999976585 0 12
0.9999999999973885 0 13
1.09999999999763 0 14
1.199999999997894 0 15
1.299999999998157 0 16
1.39999999999842 0 17
1.499999999998683 0 18
1.599999999998947 0 19
1.69999999999921 0 20
1.799999999999474 0 21
1.899999999999737 0 22
2 0.09999999999981467 23
2 0.1999999999995579 24
2 0.2999999999992664 25
2 0.3999999999989749 26
2 0.4999999999986943 27
2 0.5999999999989468 28
2 0.69999999999921 29
2 0.7999999999994734 30
2 0.8999999999997368 31
1.899999999999584 1 32
1.799999999999167 1 33
1.699999999999306 1 34
1.6 1 35
1.500000000000693 1 36
1.400000000001387 1 37
1.30000000000208 1 38
1.200000000002774 1 39
1.100000000003467 1 40
1.000000000004117 1 41
0.9000000000037447 1 42
0.8000000000033287 1 43
0.7000000000029127 1 44
0.6000000000024965 1 45
0.5000000000020806 1 46
0.4000000000016644 1 47
0.3000000000012482 1 48
0.200000000000832 1 49
0.100000000000416 1 50
0 0.8999999999995836 51
0 0.7999999999999998 52
0 0.7000000000006934 53
0 0.6000000000013869 54
0 0.5000000000020587 55
0 0.4000000000016644 56
0 0.3000000000012483 57
0 0.2000000000008322 58
0 0.100000000000416 59
1.250000000002427 0.9133974596221568 60
0.9500000000039523 0.9133974596216966 61
0.6514827134074954 0.07387544490087683 62
1.449999999998685 0.08660254037874268 63
1.149999999998067 0.08660254037905342 64
0.5365925173298548 0.9059433958844841 65
1.913397459621568 0.5499999999988205 66
0.08660254037834822 0.4500000000016676 67
1.554627750399832 0.9119606816411482 68
0.3490798000981196 0.08885430207259609 69
0.9562049030908232 0.08363004352221221 70
0.08660254037796618 0.6500000000010917 71
1.913397459621809 0.3499999999991207 72
1.649999999999101 0.08660254037863194 73
0.7500000000031207 0.9133974596211959 74
0.3490798000990229 0.9111456979281334 75
